hour,bus,P_thermal_MW,P_solar_MW,P_wind_MW,P_demand_MW,P_curtailment_MW
14,6,0.0,1114.619058,17.21291963,986.4770302,0.0
14,7,449.9999999999993,482.8750327,201.955532,1184.250276,0.0
14,8,0.0,1451.038286,108.1466691,1433.810511,0.0
14,9,0.0,4379.199204,10.7767129,799.0401522,2350.493333152545
14,10,0.0,482.8750327,201.955532,1164.335635,0.0
14,11,0.0,872.2579841,277.3470162,1208.431481,0.0
14,12,1159.41863188815,9.270688211,428.9384438,1794.054675,0.0
14,13,3604.2747030003925,87.94722651,68.65972997,1427.595453,0.0
14,14,1100.0,280.9439923,100.7988883,2014.357127,0.0
14,15,0.0,2.254462815,2.786037588,1087.560314,0.0
14,16,0.0,27.82892043,16.82079271,2412.851407,0.0
14,17,0.0,482.8750327,201.955532,711.6086942,0.0
14,18,0.0,2280.113124,217.2431568,809.5602586,0.0
14,19,1060.0,87.94722651,68.65972997,2513.858347,0.0
15,1,832.8000000000001,2249.90281,224.2685685,1087.682862,0.0
15,2,0.0,1431.812784,111.6440169,1498.625017,0.0
15,3,0.0,1431.812784,111.6440169,1026.194334,0.0
15,4,464.96411429786093,94.5846772,0.113446162,2743.341095,0.0
15,5,0.0,984.3925124,449.4771909,1412.16557,0.0
15,6,0.0,1099.850935,17.76956707,967.7646391,0.0
15,7,0.0,476.4771896,208.4865582,1161.786342,0.0
15,8,0.0,1431.812784,111.6440169,1406.612693,0.0
15,9,0.0,4321.177092,11.12522029,783.8832339,2324.980332843962
15,10,0.0,476.4771896,208.4865582,1142.249461,0.0
15,11,0.0,860.7010193,286.3161225,1185.508857,0.0
15,12,1423.6519577274994,9.147856413,442.809855,1760.023419,0.0
15,13,3430.9642617705977,86.78197149,70.88011231,1400.515527,0.0
15,14,1100.0,277.2216305,104.0586167,1976.146974,0.0
15,15,0.0,2.224592355,2.876135068,1066.930483,0.0
15,16,0.0,27.46020171,17.36475918,2367.082253,0.0
15,17,0.0,476.4771896,208.4865582,698.1102551,0.0
15,18,0.0,2249.90281,224.2685685,794.2037853,0.0
15,19,1060.0,86.78197149,70.88011231,2466.173201,0.0
16,1,832.7999999999994,2203.772023,240.8323575,1054.339902,0.0
16,2,0.0,1402.455671,119.8897018,1452.68461,0.0
16,3,0.0,1402.455671,119.8897018,994.7363078,0.0
16,4,379.6867017028586,92.64536426,0.121824947,2659.243869,0.0
16,5,0.0,964.209062,482.6741984,1368.875581,0.0
16,6,0.0,1077.300187,19.08197282,938.0977773,0.0
16,7,0.0,466.7077596,223.8847363,1126.171738,0.0
16,8,0.0,1402.455671,119.8897018,1363.492927,0.0
16,9,0.0,4232.57802,11.94689496,759.8532635,2309.387365324663
16,10,0.0,466.7077596,223.8847363,1107.23376,0.0
16,11,0.0,843.0536723,307.4625537,1149.167037,0.0
16,12,1152.9685417978892,8.960293725,475.5144336,1706.069834,0.0
16,13,3103.0321206439144,85.002641,76.11510014,1357.58267,0.0
16,14,1100.0,271.5376285,111.7440672,1915.568113,0.0
16,15,0.0,2.17898052,3.088557588,1034.223689,0.0
16,16,0.0,26.89717262,18.64726706,2294.519256,0.0
16,17,0.0,466.7077596,223.8847363,676.7096587,0.0
16,18,0.0,2203.772023,240.8323575,769.8574381,0.0
16,19,1060.0,85.002641,76.11510014,2390.572568,0.0
17,1,832.7999999999996,2142.181323,245.7415876,1059.62795,0.0
17,2,0.0,1363.260043,122.3335849,1459.970558,0.0
17,3,0.0,1363.260043,122.3335849,999.7254136,0.0
17,4,413.71814957572576,90.05612507,0.124308279,2672.581322,0.0
17,5,0.0,937.2614872,492.5132364,1375.741184,0.0
17,6,0.0,1047.191958,19.47094794,942.8028123,0.0
17,7,0.0,453.664279,228.4484988,1131.820059,0.0
17,8,0.0,1363.260043,122.3335849,1370.331534,0.0
17,9,0.0,4114.286544,12.19042559,763.6643121,2040.6741272086335
17,10,0.0,453.664279,228.4484988,1112.787098,0.0
17,11,0.0,819.4921307,313.7300023,1154.930692,0.0
17,12,1172.9475579624334,8.709872737,485.2075238,1714.626637,0.0
17,13,3343.008418435477,82.62699953,77.666663,1364.391634,0.0
17,14,1100.0,263.9487343,114.0219062,1925.175656,0.0
17,15,0.0,2.118082688,3.151516071,1039.410844,0.0
17,16,0.0,26.14545434,19.02738096,2306.027431,0.0
17,17,0.0,453.664279,228.4484988,680.1037,0.0
17,18,0.0,2142.181323,245.7415876,773.7186627,0.0
17,19,1060.0,82.62699953,77.666663,2402.562499,0.0
18,1,1000.5813527218439,1921.49791,275.9827562,1093.21311,0.0
18,2,0.0,1222.819607,137.3880598,1506.244673,0.0
18,3,0.0,1222.819607,137.3880598,1031.411949,0.0
18,4,500.0,80.77871571,0.139605762,2757.289424,0.0
18,5,0.0,840.7066056,553.1223338,1419.345629,0.0
18,6,0.0,939.3122503,21.86705934,972.6851719,0.0
18,7,0.0,406.9286546,256.5615652,1167.693365,0.0
18,8,0.0,1222.819607,137.3880598,1413.764518,0.0
18,9,0.0,3690.440632,13.69058972,787.8688343,1045.1096867669048
18,10,0.0,406.9286546,256.5615652,1148.05715,0.0
18,11,0.0,735.0696224,352.3378829,1191.536495,0.0
18,12,1467.3412965471282,7.812598345,544.917574,1768.972137,0.0
18,13,4015.187037093952,74.11492444,87.22438854,1407.636352,0.0
18,14,1100.0,236.7572417,128.0535389,1986.194557,0.0
18,15,0.0,1.89988187,3.539344317,1072.355218,0.0
18,16,0.0,23.45199976,21.36890662,2379.11752,0.0
18,17,0.0,406.9286546,256.5615652,701.6597487,0.0
18,18,0.0,1921.49791,275.9827562,798.2418599,0.0
18,19,1060.0,74.11492444,87.22438854,2478.712289,0.0
19,1,1330.0,1469.650208,276.3250797,1118.15978,0.0
19,2,0.0,935.2688239,137.5584732,1540.616551,0.0
19,3,0.0,935.2688239,137.5584732,1054.948341,0.0
19,4,500.0,61.78328676,0.139778926,2820.209624,0.0
19,5,0.0,643.0111799,553.8084156,1451.734507,0.0
19,6,0.0,718.429324,21.89418281,994.8814438,0.0
19,7,0.0,311.2378,256.8797991,1194.339643,0.0
19,8,0.0,935.2688239,137.5584732,1446.026038,0.0
19,9,1400.0,2822.619174,13.70757125,805.8476741,475.5813661197321
19,10,0.0,311.2378,256.8797991,1174.255337,0.0
19,11,0.0,562.2151438,352.7749158,1218.726863,0.0
19,12,0.0,5.975435481,545.5934788,1809.339347,0.0
19,13,4334.698548471971,56.68651191,87.33257993,1439.75803,0.0
19,14,1099.9999999999995,181.0828561,128.2123739,2031.518693,0.0
19,15,92.4828186667608,1.453117265,3.543734449,1096.825919,0.0
19,16,3000.0,17.93717087,21.39541219,2433.407994,0.0
19,17,0.0,311.2378,256.8797991,717.6713329,0.0
19,18,0.0,1469.650208,276.3250797,816.4574078,0.0
19,19,1060.0,56.68651191,87.33257993,2535.275475,0.0
20,1,1329.999999999999,731.2837633,260.4148174,1145.649556,0.0
20,2,1570.50331441691,465.3807426,129.638123,1578.492359,0.0
20,3,0.0,465.3807426,129.638123,1080.884075,0.0
20,4,0.0,30.74276736,0.131730727,2889.54402,0.0
20,5,0.0,319.9561588,521.9212008,1487.425164,0.0
20,6,2726.7553483428305,357.4834997,20.63355821,1019.340442,0.0
20,7,450.0,154.8689262,242.0891583,1223.702289,0.0
20,8,0.0,465.3807426,129.638123,1481.576353,0.0
20,9,1999.9999999999995,1404.508066,12.91831588,825.6593082,0.0
20,10,0.0,154.8689262,242.0891583,1203.124214,0.0
20,11,0.0,279.7528309,332.4628201,1248.689065,0.0
20,12,1499.9999999999986,2.97331904,514.1792641,1853.821661,0.0
20,13,4513.106924641721,28.20666137,82.3041393,1475.154247,0.0
20,14,1099.9999999999995,90.10508199,120.830154,2081.46325,0.0
20,15,0.0,0.72305713,3.33969309,1123.791206,0.0
20,16,2908.534413637519,8.925363154,20.16350584,2493.232934,0.0
20,17,0.0,154.8689262,242.0891583,735.3151661,0.0
20,18,0.0,731.2837633,260.4148174,836.5298806,0.0
20,19,1060.0,28.20666137,82.3041393,2597.604811,0.0
21,1,1330.0,104.9830169,223.6695024,1149.403667,0.0
21,2,3400.0,66.81000839,111.3457935,1583.664826,0.0
21,3,0.0,66.81000839,111.3457935,1084.425959,0.0
21,4,500.0,4.413428312,0.113143124,2899.012593,0.0
21,5,1063.2732827576324,45.93287109,448.2765476,1492.299218,0.0
21,6,2895.0457168684766,51.32029202,17.72210101,1022.680658,0.0
21,7,450.0,22.23296607,207.929649,1227.712166,0.0
21,8,1561.5706476033752,66.81000839,111.3457935,1486.431242,0.0
21,9,2000.0,201.631024,11.0955026,828.3648618,0.0
21,10,120.0,22.23296607,207.929649,1207.06666,0.0
